protocol,region,species_id,taxon_group,seed,n_presence,n_PA_test,lambda_s,lambda_selection,lambda_source,background_scheme,objective,remediation,integration_support,n_background,model,converged,runtime_s,skip_reason,auc_roc,auprc,prg,cor,pos_weight,maxnet_max_bg,maxnet_bg_n,tgb_tgb_group,tgb_tgb_n_other_sites,tgb_tgb_n_used,tgb_tgb_excludes_focal_presence
tgb_closure_v1,NSW,nsw14,db,0,315,702,0.01,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,1198,maxnet_bg50k,True,2.524995565006975,,0.8138712529132845,0.48972231561144436,0.6498145604390068,0.40391329335503834,,50000.0,1198.0,db,1198.0,1198.0,True
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,additive_kan_ipp,True,4.921008395991521,,0.6545918869862531,0.18664229887916528,0.3380862082014287,0.1669796090263001,,,,,,,
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,ipp,primary,full_background_50k,50000,gam_ipp_same_basis,True,12.753977291999036,,0.6546129926411617,0.1866506337203033,0.3384634410552869,0.1616450656057144,,,,,,,
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,bce_pos_weight,primary,full_background_50k,50000,additive_kan_bce,True,5.432113372007734,,0.6332540698737882,0.1691286443607673,0.2794238961526217,0.15822283908957246,416.6666666666667,,,,,,
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg10k,True,5.8919347310002195,,0.6365465520395097,0.1806203271509148,0.29711766714517335,0.1628869626089001,,10000.0,10000.0,,,,
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,random_50k,maxnet_default,primary,full_background_50k,50000,maxnet_bg50k,True,26.105097309002304,,0.6413586413586413,0.1818997395353202,0.3070207951689239,0.1676242087535475,,50000.0,50000.0,,,,
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,148,additive_kan_ipp,True,0.4333601049875142,,0.6264650842115631,0.15877717582832473,0.2504137136552982,0.1343572487653644,,,,nb,148.0,148.0,True
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,ipp,primary,tgb_other_po_same_group,148,gam_ipp_same_basis,True,2.968606333990465,,0.6264650842115631,0.15877768757571392,0.2504075019101882,0.13416457801226553,,,,nb,148.0,148.0,True
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,bce_pos_weight,primary,tgb_other_po_same_group,148,additive_kan_bce,True,0.5000889049988473,,0.6192610206694713,0.16597755917627058,0.23762477099518894,0.1423406102162199,1.2333333333333334,,,nb,148.0,148.0,True
tgb_closure_v1,NSW,nsw16,nb,0,120,1137,1.0,po_random_5fold,methodological_closure_full_v1/lambda_star.csv,tgb,maxnet_default,primary,tgb_other_po_same_group,148,maxnet_bg10k,True,1.2265899139893008,,0.6359978050118895,0.1687332920500533,0.25138540740160037,0.16333067630321413,,10000.0,148.0,nb,148.0,148.0,True
