scope,region,taxon_group,pair,n,mean_delta,ci_lo,ci_hi,median_delta,mean_abs_delta,pearson_r,pct_pos
region_group,AWT,bird,KAN-GAM,20,0.00019505384597602317,-5.185275150920708e-06,0.00039353227864621514,9.453909441026198e-05,0.0004073853355648693,0.9999945384876576,55.00000000000001
region_group,AWT,bird,KAN-maxnet,20,-0.003784169191796061,-0.022568581095762392,0.015859925457052133,-0.006767175850723978,0.03805843751473744,0.9472286779792742,35.0
region_group,AWT,bird,IPP-BCE,20,-0.004215054667676349,-0.018495029185448507,0.008417738544854256,-0.003314298656179271,0.023915906863841114,0.9702281471748072,45.0
region_group,AWT,plant,KAN-GAM,20,-0.00011033702737390516,-0.0005429339018936307,0.0002964926671838635,0.0,0.0006537651605413447,0.9999713666485897,30.0
region_group,AWT,plant,KAN-maxnet,20,-0.015124801775320084,-0.039692311223586886,0.009434113670378864,-0.016258421971571513,0.04174147836433824,0.9091410385499435,25.0
region_group,AWT,plant,IPP-BCE,20,0.019480658385523993,0.0013018627758562544,0.03871919743765376,0.014319096601073389,0.03870843042795265,0.9315689983130254,70.0
region_group,CAN,bird,KAN-GAM,20,6.126790328123133e-06,-4.7825324353803416e-05,7.068174313194182e-05,-5.6362917928431955e-06,8.509709016357447e-05,0.9999994699647056,40.0
region_group,CAN,bird,KAN-maxnet,20,0.019203070399694423,0.0032579509664653647,0.03844423195667419,0.006489348439957909,0.028281274793300958,0.9666676546156218,60.0
region_group,CAN,bird,IPP-BCE,20,-0.008067520207422962,-0.018969416748383598,0.0021216723011076963,-0.0004885151509233243,0.018267089391110807,0.981539502771183,45.0
region_group,NSW,ba,KAN-GAM,7,0.00010020321462839155,-0.0007538371444072442,0.0012542978755834147,-0.000124984376953019,0.0007939828877856413,0.9999302340889625,28.57142857142857
region_group,NSW,ba,KAN-maxnet,7,0.019784142928616823,-0.005526273008865993,0.04735753434849737,0.002092592592592535,0.028439713128612185,0.9481698486394734,57.14285714285714
region_group,NSW,ba,IPP-BCE,7,0.006226158380487369,-0.0045377685518872765,0.016764246545321014,0.010888888888888837,0.014592123455418993,0.995530276436633,57.14285714285714
region_group,NSW,db,KAN-GAM,8,0.00011130149092411501,-0.00016555344005043278,0.0004209937096931548,0.0001512978105571161,0.00034353941310100167,0.9999967345001288,62.5
region_group,NSW,db,KAN-maxnet,8,0.001809402805092994,-0.02212393496151921,0.020357275536178093,0.005608504398826986,0.02236671025831989,0.9735642550338356,50.0
region_group,NSW,db,IPP-BCE,8,0.00117887864748846,-0.007348483462804311,0.010695031869756027,-0.004045235220282273,0.010871725444072625,0.9977426136494706,37.5
