region,taxon_group,species_id,split_id,seed,estimand,n_presence,n_PA_test,categorical_encoding,weight_decay,lambda_r,basis_df,knots,background_scheme,n_background,integration_support,model,objective,lambda_s,lambda_selection,converged,runtime_s,auc_roc,auprc,prg,artifact_path,skip_reason,maxnet_bg_n,pos_weight
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.0379,0.8323688271604939,0.1523468313294956,0.6690772170417518,,,,
AWT,bird,awt12,pa_holdout,0,global_conditional_density,32,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.0444,0.7997685185185185,0.14639239913556645,0.6515252669945172,,,,1562.5
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.7872,0.7493821057834898,0.5105996134851503,0.5357640775190511,,,10000.0,
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,3.0591,0.746992914812984,0.4753698306895567,0.5356265692295578,,,,
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.1548,0.7460042840665678,0.4738513888272744,0.5349694337889864,,,,
AWT,bird,awt13,pa_holdout,0,global_conditional_density,122,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.3085,0.7634289009721534,0.4897324340209887,0.5615488059742186,,,,409.8360655737705
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,3.0779,0.8827412587412587,0.6895529362748242,0.8092882354540504,,,10000.0,
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,3.0064,0.8041398601398602,0.4862819111976651,0.6403472135903777,,,,
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.1199,0.8034125874125875,0.48332044942783703,0.6368709272232781,,,,
AWT,bird,awt14,pa_holdout,0,global_conditional_density,99,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.0586,0.8692027972027973,0.684277924192481,0.7941269961726386,,,,505.050505050505
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,5.7704,0.8091158581812787,0.8709320618626022,0.5178316861286848,,,10000.0,
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,3.0215,0.7707313454977007,0.8303694900602415,0.46163269555806524,,,,
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.1812,0.7694704049844238,0.8289071799397407,0.4615909842655677,,,,
AWT,bird,awt15,pa_holdout,0,global_conditional_density,254,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.1771,0.7734386589526778,0.8294435842034378,0.4771989223184966,,,,196.8503937007874
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,4.119,0.7377151268115941,0.420423770802116,0.489382336171643,,,10000.0,
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,2.9701,0.671591938405797,0.2581148341086134,0.3716157211658907,,,,
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,gam_ipp,ipp,0.01,frozen_default,True,3.0211,0.6711956521739131,0.2580144620126285,0.3710158196926078,,,,
AWT,bird,awt16,pa_holdout,0,global_conditional_density,144,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_bce,bce_pos_weight,0.01,frozen_default,True,3.0246,0.6975769927536232,0.297128780289735,0.4073647224185409,,,,347.22222222222223
AWT,bird,awt17,pa_holdout,0,global_conditional_density,184,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,maxnet,maxnet_default,,maxnet_classes_lq,True,4.2472,0.8130760722625047,0.6437735262936264,0.6552226319115819,,,10000.0,
AWT,bird,awt17,pa_holdout,0,global_conditional_density,184,340,onehot_l2,0.0,1e-06,9,"G=6,K=3",random_50k,50000,full_background_50k,additive_kan_ipp,ipp,0.01,frozen_default,True,3.1455,0.8017287288517474,0.5499671441607771,0.6261951752041027,,,,
