species_id,ours_auc,valavi_auc,valavi_auprc,n_eval,n_pos,region,delta_auc
sa03,0.7960069444444444,0.8550347222222222,0.4361982916066763,152.0,8.0,SA,-0.0590277777777777
sa04,0.923076923076923,0.9487179487179488,0.4792522292522293,152.0,9.0,SA,-0.0256410256410256
sa05,0.8955665024630541,0.9054187192118226,0.2103944513517038,152.0,7.0,SA,-0.0098522167487684
sa06,0.916256157635468,0.9261083743842364,0.5003120910097654,152.0,7.0,SA,-0.0098522167487684
sa07,0.8958333333333334,0.8940972222222222,0.2327103758169934,152.0,8.0,SA,0.0017361111111111
sa08,0.9670138888888888,0.9869791666666669,0.8318452380952381,152.0,8.0,SA,-0.0199652777777779
sa09,0.8126760563380282,0.8873239436619718,0.3810350358234458,152.0,10.0,SA,-0.0746478873239435
sa10,0.5663022147462854,0.6389122511914774,0.296070140591432,152.0,29.0,SA,-0.072610036445192
sa11,0.6536458333333333,0.8107638888888888,0.1552948228266819,152.0,8.0,SA,-0.1571180555555555
sa12,0.7839416058394161,0.770316301703163,0.2780925849314183,152.0,15.0,SA,0.013625304136253
sa13,0.8756798756798756,0.8632478632478632,0.4701158662173497,152.0,9.0,SA,0.0124320124320124
sa14,0.8502463054187192,0.8551724137931034,0.2727291288723926,152.0,7.0,SA,-0.0049261083743842
sa15,0.6233576642335766,0.5717761557177615,0.1396437744605713,152.0,15.0,SA,0.0515815085158151
sa16,0.7330049261083743,0.8591133004926108,0.314748930314968,152.0,7.0,SA,-0.1261083743842365
sa17,0.8704061895551256,0.862669245647969,0.3724873074486227,152.0,11.0,SA,0.0077369439071566
sa18,0.7142857142857142,0.7542540561931144,0.4046052235578188,152.0,19.0,SA,-0.0399683419074001
sa19,0.8018648018648019,0.832944832944833,0.204141878295303,152.0,9.0,SA,-0.0310800310800311
sa20,0.652112676056338,0.7866197183098591,0.2396137464685851,152.0,10.0,SA,-0.134507042253521
sa21,0.7985611510791367,0.7598229109020476,0.2971999468731928,152.0,13.0,SA,0.0387382401770891
sa22,0.8768536428110896,0.8736299161831076,0.2368692270296548,152.0,11.0,SA,0.0032237266279819
sa23,0.8854166666666666,0.8637152777777777,0.1777462121212121,152.0,8.0,SA,0.0217013888888889
sa24,0.7546346782988004,0.7797164667393675,0.2782665550090177,152.0,21.0,SA,-0.025081788440567
sa25,0.6643356643356643,0.749028749028749,0.1575244347078305,152.0,9.0,SA,-0.0846930846930847
sa26,0.5943703703703704,0.666074074074074,0.3295198977946359,152.0,27.0,SA,-0.0717037037037036
sa27,0.8205128205128205,0.8585858585858586,0.4824369764494896,152.0,9.0,SA,-0.038073038073038
sa28,0.6676056338028169,0.6957746478873239,0.3294717431861713,152.0,10.0,SA,-0.028169014084507
sa29,0.7692307692307693,0.7855477855477855,0.2060844661450078,152.0,9.0,SA,-0.0163170163170162
sa30,0.6699507389162562,0.6748768472906405,0.0729439955414673,152.0,7.0,SA,-0.0049261083743842
swi01,0.8185966779314339,0.8524306046934644,0.0746929696706961,10013.0,107.0,SWI,-0.0338339267620305
swi02,0.7328938505804696,0.7625622178392923,0.0817683395891753,10013.0,298.0,SWI,-0.0296683672588227
swi03,0.6901658150707508,0.6307051100035528,0.0503399838023445,10013.0,142.0,SWI,0.059460705067198
swi04,0.851857419741699,0.8666919769727176,0.0896173974034532,10013.0,119.0,SWI,-0.0148345572310185
swi05,0.987704378203476,0.9687999312773816,0.429077808628376,10013.0,35.0,SWI,0.0189044469260943
swi06,0.6841856479875617,0.7187597115647639,0.8351727566209304,10013.0,6953.0,SWI,-0.0345740635772022
swi07,0.8984321876774128,0.912743455333589,0.1647930043963441,10013.0,222.0,SWI,-0.0143112676561761
swi08,0.8329519033247507,0.8561593361754816,0.2401453498372004,10013.0,477.0,SWI,-0.0232074328507309
swi09,0.7806286279492396,0.8020559585394543,0.1063318292460126,10013.0,306.0,SWI,-0.0214273305902147
swi10,0.7335492078177402,0.7600259469300281,0.2796920166755481,10013.0,1366.0,SWI,-0.0264767391122878
swi11,0.8425537778398814,0.8644579131636353,0.064384402961518,10013.0,104.0,SWI,-0.0219041353237539
swi12,0.6977184028820174,0.6875612929050335,0.0126957369733743,10013.0,20.0,SWI,0.0101571099769838
swi13,0.7256081818763056,0.7507278237335238,0.5579834240819587,10013.0,3326.0,SWI,-0.0251196418572181
swi14,0.7790617718189771,0.8059374869146685,0.3190302021361753,10013.0,978.0,SWI,-0.0268757150956914
swi15,0.7746357794991033,0.7789468992722388,0.0498116669054871,10013.0,134.0,SWI,-0.0043111197731354
swi16,0.8243075351858725,0.8386124644982641,0.143820845768838,10013.0,395.0,SWI,-0.0143049293123915
swi17,0.9864636651344534,0.9864041162341008,0.6898473260827162,10013.0,308.0,SWI,5.954890035253513e-05
swi18,0.938835871248007,0.9490106369048994,0.0500098204611425,10013.0,26.0,SWI,-0.0101747656568923
swi19,0.9079026363186332,0.9139325700683568,0.024637049053428,10013.0,19.0,SWI,-0.0060299337497234
swi20,0.7402539012045838,0.7527955571076959,0.0585600149502788,10013.0,271.0,SWI,-0.012541655903112
swi21,0.6863270361776338,0.7251794105628767,0.0593446260469782,10013.0,224.0,SWI,-0.0388523743852429
swi22,0.8522150720808028,0.8694352133473281,0.1315353613808901,10013.0,182.0,SWI,-0.0172201412665252
swi23,0.7306721665110106,0.7671224713765963,0.4074839666701697,10013.0,1493.0,SWI,-0.0364503048655856
swi24,0.5620175662243703,0.6468682680973865,0.0494966897297741,10013.0,278.0,SWI,-0.0848507018730162
swi25,0.9659279159234028,0.9729609490855164,0.4669537773804951,10013.0,238.0,SWI,-0.0070330331621136
swi26,0.793468667255075,0.7669948408112757,0.0819591623863221,10013.0,22.0,SWI,0.0264738264437993
swi27,0.7097221254999068,0.7240868512642331,0.1137209726029862,10013.0,391.0,SWI,-0.0143647257643263
swi28,0.776234934565655,0.8173153063367262,0.7409978686648051,10013.0,4246.0,SWI,-0.0410803717710712
swi29,0.6530384343790983,0.6861918692625845,0.0359594889869835,10013.0,100.0,SWI,-0.0331534348834862
swi30,0.6891910985517484,0.7217234626658487,0.2897328061281398,10013.0,1520.0,SWI,-0.0325323641141003
