region,species_id,seed,auc_additive,auc_deep2,delta_auc
NSW,nsw27,0,0.540881190178943,0.5450192467748648,0.004138056595921813
NSW,nsw27,1,0.5409514148980441,0.5451622971285892,0.00421088223054511
NSW,nsw27,2,0.5408681856013317,0.5468294839783604,0.005961298377028745
NSW,nsw28,0,0.6748108139899623,0.6464990785759096,-0.02831173541405274
NSW,nsw28,1,0.6747765056461732,0.6438058735884568,-0.03097063205771644
NSW,nsw28,2,0.6747887586260979,0.6455678521016311,-0.02922090652446674
NSW,nsw29,0,0.7302263533866942,0.5712625871417506,-0.15896376624494357
NSW,nsw29,1,0.7304415182029435,0.5679060160082623,-0.16253550219468116
NSW,nsw29,2,0.7301402874601944,0.5724675101127463,-0.1576727773474481
NSW,nsw31,0,0.5457527172898069,0.5307982855862249,-0.014954431703582016
NSW,nsw31,1,0.5457550517312217,0.5276934785044634,-0.018061573226758387
NSW,nsw31,2,0.5457667239382961,0.5289890934897098,-0.016777630448586267
NSW,nsw32,0,0.7683831320194957,0.7638270820089001,-0.004556050010595558
NSW,nsw32,1,0.7685244048880413,0.7619198982835347,-0.006604506604506621
NSW,nsw32,2,0.768418450236632,0.761248852157943,-0.007169598078688999
NSW,nsw33,0,0.533848580132632,0.5195176663042307,-0.014330913828401348
NSW,nsw33,1,0.5338804157238434,0.520835170002057,-0.013045245721786336
NSW,nsw33,2,0.5339685758225827,0.5226546964843711,-0.011313879338211597
NSW,nsw34,0,0.6110046004156034,0.5832751404036685,-0.027729460011934992
NSW,nsw34,1,0.6111019413161336,0.591219004329554,-0.019882936986579614
NSW,nsw34,2,0.611089244676934,0.5840030810511124,-0.027086163625821613
NSW,nsw35,0,0.3947539636338733,0.4636167517035922,0.0688627880697189
NSW,nsw35,1,0.3944800191761121,0.4280724583090778,0.033592439132965723
NSW,nsw35,2,0.3940691024894702,0.4239975344998801,0.0299284320104099
NSW,nsw36,0,0.8562480474851609,0.8855201499531397,0.029272102467978733
NSW,nsw36,1,0.8539050296782256,0.893611371446423,0.03970634176819743
NSW,nsw36,2,0.8566541705716963,0.8944860980943455,0.03783192752264919
NSW,nsw37,0,0.5625061710110585,0.6013094885466035,0.038803317535545
NSW,nsw37,1,0.5628887736966824,0.601796998420221,0.03890822472353861
NSW,nsw37,2,0.5628270635860979,0.5997914198262243,0.036964356240126395
NSW,nsw38,0,0.4090554833920949,0.3650893796004205,-0.04396610379167443
NSW,nsw38,1,0.4086967279025175,0.3289540421846972,-0.07974268571782028
NSW,nsw38,2,0.4088575493288798,0.2973588173439723,-0.1114987319849075
NSW,nsw39,0,0.621402053528434,0.6223457135312301,0.0009436600027961095
