region,species_id,n_seed,auc_additive,auc_deep2,delta_auc,delta_sd
SA,sa29,3,0.7549857549857549,0.7713027713027714,0.01631701631701632,0.008404548427654994
SA,sa30,3,0.5921182266009852,0.586863711001642,-0.005254515599343239,0.0005688179992016075
SWI,swi01,3,0.8400585440838587,0.8393962436938374,-0.0006623003900213531,0.0005629277483927551
SWI,swi02,3,0.751490867808608,0.7516277672042472,0.00013689939563932274,0.0005455207803596511
SWI,swi03,3,0.6986403953726071,0.7063489911882058,0.007708595815598647,0.0024935817970982033
SWI,swi04,3,0.8698769987073058,0.870857985401559,0.000980986694253098,0.00026889733444926693
SWI,swi05,3,0.9846290410331301,0.9668384732124959,-0.017790567820633967,0.0031018153392223
SWI,swi06,3,0.7096612424473441,0.7060092240869054,-0.0036520183604387135,0.00019024768259764168
SWI,swi07,3,0.9099270857007554,0.9096837108786859,-0.00024337482206948646,0.00011580598008911511
SWI,swi08,3,0.8513261306450174,0.8532239006608228,0.0018977700158053779,9.022632487992865e-05
SWI,swi09,3,0.7891689464265955,0.7884379419384481,-0.0007310044881475575,0.00011492165120372763
SWI,swi10,3,0.7578657064067503,0.7592058349775929,0.001340128570842462,0.0005081701938583559
SWI,swi11,3,0.8585564534701683,0.8597360984963164,0.0011796450261481646,0.00017854874142673167
SWI,swi12,3,0.6814937122652523,0.6814386737382835,-5.503852696882768e-05,0.0038270645167274315
SWI,swi13,3,0.746940697379307,0.7469964803380956,5.578295878864529e-05,6.115729917975391e-05
SWI,swi14,3,0.8003460374692223,0.7989586056496946,-0.001387431819527903,0.000248230066083361
SWI,swi15,3,0.7904160239394181,0.7792203573689402,-0.011195666570477917,0.004626564812752829
SWI,swi16,3,0.8377843758143354,0.8393182438343016,0.0015338680199661707,0.0003245214455555294
SWI,swi17,3,0.9826801911809638,0.9794544027156084,-0.0032257884653556688,0.0013927394236824123
SWI,swi18,3,0.9309923413257749,0.9066144962810628,-0.024377845044711965,0.0013507584664742079
SWI,swi19,3,0.8714088101983997,0.8675556210919534,-0.003853189106446312,0.009241639320295916
SWI,swi20,3,0.7548858962209003,0.747739401023655,-0.007146495197245195,0.00044529676664623627
SWI,swi21,3,0.7232016682962898,0.7252732051038824,0.0020715368075924965,0.0005364307264005941
SWI,swi22,3,0.8553439575716048,0.8569094249594708,0.0015654673878659302,0.0003012879135050657
SWI,swi23,3,0.7704921611233226,0.7730251869181899,0.0025330257948673607,0.0008793717663862259
SWI,swi24,3,0.6453252190235484,0.6500206306449446,0.004695411621396195,0.0027105565309916975
SWI,swi25,3,0.9687008102473725,0.9617994512382958,-0.006901359009076698,0.0011110464700036366
SWI,swi26,3,0.8193919982529732,0.8354488736832847,0.016056875430311535,0.0023151990577747607
SWI,swi27,3,0.7058462924992686,0.6933894033334734,-0.012456889165795237,0.002545361679929443
SWI,swi28,3,0.8114861104225283,0.810813159577929,-0.0006729508445992849,0.0004967275812150161
SWI,swi29,3,0.6654739567571203,0.6567456874810855,-0.008728269276034798,0.00193558536355948
SWI,swi30,3,0.717929006550286,0.7170399617022066,-0.000889044848079279,0.0010112831666595527
